target,const,baseline_passes,highcov_passes,delta_passes,baseline_peak_el,highcov_peak_el,delta_peak_el,baseline_samples,highcov_samples,delta_samples,new_in_highcov
STARLINK-31903,STARLINK,0,7,7,0.0,32.67,32.67,0,7,7,1
STARLINK-34748,STARLINK,0,7,7,0.0,32.63,32.63,0,7,7,1
STARLINK-30608,STARLINK,0,7,7,0.0,32.52,32.52,0,7,7,1
STARLINK-32671,STARLINK,0,7,7,0.0,32.4,32.4,0,7,7,1
STARLINK-34957,STARLINK,0,7,7,0.0,32.39,32.39,0,7,7,1
STARLINK-30372,STARLINK,0,7,7,0.0,32.35,32.35,0,7,7,1
STARLINK-34449,STARLINK,0,7,7,0.0,32.32,32.32,0,7,7,1
STARLINK-31340,STARLINK,0,7,7,0.0,32.31,32.31,0,7,7,1
STARLINK-3077,STARLINK,0,7,7,0.0,32.29,32.29,0,7,7,1
STARLINK-5921,STARLINK,0,7,7,0.0,32.29,32.29,0,7,7,1
STARLINK-31660,STARLINK,0,7,7,0.0,32.15,32.15,0,7,7,1
STARLINK-31937,STARLINK,0,7,7,0.0,32.13,32.13,0,7,7,1
STARLINK-35975,STARLINK,0,7,7,0.0,32.08,32.08,0,7,7,1
STARLINK-35153,STARLINK,0,7,7,0.0,31.89,31.89,0,7,7,1
STARLINK-4781,STARLINK,0,7,7,0.0,31.87,31.87,0,7,7,1
STARLINK-3358,STARLINK,0,7,7,0.0,31.61,31.61,0,7,7,1
STARLINK-34944,STARLINK,0,7,7,0.0,31.51,31.51,0,7,7,1
STARLINK-34010,STARLINK,0,7,7,0.0,31.34,31.34,0,7,7,1
STARLINK-31906,STARLINK,0,7,7,0.0,31.23,31.23,0,7,7,1
STARLINK-3735,STARLINK,0,7,7,0.0,31.2,31.2,0,7,7,1
STARLINK-35502,STARLINK,0,7,7,0.0,31.19,31.19,0,7,7,1
STARLINK-33958,STARLINK,0,7,7,0.0,31.16,31.16,0,7,7,1
STARLINK-34988,STARLINK,0,7,7,0.0,30.83,30.83,0,7,7,1
STARLINK-35554,STARLINK,0,7,7,0.0,30.81,30.81,0,7,7,1
STARLINK-30414,STARLINK,0,7,7,0.0,30.75,30.75,0,7,7,1
STARLINK-34423,STARLINK,0,7,7,0.0,30.75,30.75,0,7,7,1
STARLINK-2524,STARLINK,0,7,7,0.0,30.57,30.57,0,7,7,1
STARLINK-35182,STARLINK,0,7,7,0.0,30.55,30.55,0,7,7,1
STARLINK-34041,STARLINK,0,7,7,0.0,30.53,30.53,0,7,7,1
STARLINK-35488,STARLINK,0,7,7,0.0,30.43,30.43,0,7,7,1
STARLINK-34955,STARLINK,0,7,7,0.0,30.4,30.4,0,7,7,1
STARLINK-31986,STARLINK,0,7,7,0.0,30.36,30.36,0,7,7,1
STARLINK-32289,STARLINK,0,7,7,0.0,30.32,30.32,0,7,7,1
STARLINK-35327,STARLINK,0,7,7,0.0,30.13,30.13,0,7,7,1
STARLINK-34679,STARLINK,0,7,7,0.0,29.96,29.96,0,7,7,1
STARLINK-32666,STARLINK,0,7,7,0.0,29.92,29.92,0,7,7,1
STARLINK-1549,STARLINK,0,7,7,0.0,29.88,29.88,0,7,7,1
STARLINK-32449,STARLINK,0,7,7,0.0,29.85,29.85,0,7,7,1
STARLINK-34836,STARLINK,0,7,7,0.0,29.67,29.67,0,7,7,1
STARLINK-5527,STARLINK,0,7,7,0.0,29.65,29.65,0,7,7,1
STARLINK-4120,STARLINK,0,7,7,0.0,29.62,29.62,0,7,7,1
STARLINK-31724,STARLINK,0,7,7,0.0,29.56,29.56,0,7,7,1
STARLINK-32132,STARLINK,0,7,7,0.0,29.53,29.53,0,7,7,1
STARLINK-33976,STARLINK,0,7,7,0.0,29.43,29.43,0,7,7,1
STARLINK-35236,STARLINK,0,7,7,0.0,29.26,29.26,0,7,7,1
STARLINK-35489,STARLINK,0,7,7,0.0,29.24,29.24,0,7,7,1
STARLINK-32528,STARLINK,0,7,7,0.0,29.04,29.04,0,7,7,1
STARLINK-35062,STARLINK,0,7,7,0.0,28.98,28.98,0,7,7,1
STARLINK-4026,STARLINK,0,7,7,0.0,28.97,28.97,0,7,7,1
STARLINK-31167,STARLINK,0,7,7,0.0,28.92,28.92,0,7,7,1
STARLINK-33954,STARLINK,0,7,7,0.0,28.72,28.72,0,7,7,1
STARLINK-35266,STARLINK,0,7,7,0.0,28.58,28.58,0,7,7,1
STARLINK-6193,STARLINK,0,7,7,0.0,28.53,28.53,0,7,7,1
STARLINK-31005,STARLINK,0,7,7,0.0,28.4,28.4,0,7,7,1
STARLINK-30476,STARLINK,0,7,7,0.0,28.24,28.24,0,7,7,1
STARLINK-34789,STARLINK,0,7,7,0.0,28.22,28.22,0,7,7,1
STARLINK-35619,STARLINK,0,7,7,0.0,28.14,28.14,0,7,7,1
STARLINK-35584,STARLINK,0,7,7,0.0,28.1,28.1,0,7,7,1
STARLINK-35418,STARLINK,0,7,7,0.0,28.05,28.05,0,7,7,1
STARLINK-32343,STARLINK,0,7,7,0.0,27.97,27.97,0,7,7,1
STARLINK-34758,STARLINK,0,7,7,0.0,27.97,27.97,0,7,7,1
STARLINK-34755,STARLINK,0,7,7,0.0,27.95,27.95,0,7,7,1
STARLINK-5965,STARLINK,0,7,7,0.0,27.91,27.91,0,7,7,1
STARLINK-30556,STARLINK,0,7,7,0.0,27.88,27.88,0,7,7,1
STARLINK-36190,STARLINK,0,7,7,0.0,27.79,27.79,0,7,7,1
STARLINK-32668,STARLINK,0,7,7,0.0,27.63,27.63,0,7,7,1
STARLINK-35556,STARLINK,0,7,7,0.0,27.58,27.58,0,7,7,1
STARLINK-34186,STARLINK,0,7,7,0.0,27.54,27.54,0,7,7,1
STARLINK-34939,STARLINK,0,7,7,0.0,27.39,27.39,0,7,7,1
STARLINK-31844,STARLINK,0,7,7,0.0,27.38,27.38,0,7,7,1
STARLINK-34228,STARLINK,0,7,7,0.0,27.31,27.31,0,7,7,1
STARLINK-35398,STARLINK,0,7,7,0.0,27.27,27.27,0,7,7,1
STARLINK-4376,STARLINK,0,7,7,0.0,27.25,27.25,0,7,7,1
STARLINK-4626,STARLINK,0,7,7,0.0,27.09,27.09,0,7,7,1
STARLINK-2711,STARLINK,0,7,7,0.0,26.93,26.93,0,7,7,1
STARLINK-34237,STARLINK,0,7,7,0.0,26.86,26.86,0,7,7,1
STARLINK-11440 [DTC],STARLINK,0,7,7,0.0,26.85,26.85,0,7,7,1
STARLINK-35199,STARLINK,0,7,7,0.0,26.85,26.85,0,7,7,1
STARLINK-32017,STARLINK,0,7,7,0.0,26.83,26.83,0,7,7,1
STARLINK-1871,STARLINK,0,7,7,0.0,26.75,26.75,0,7,7,1
STARLINK-3975,STARLINK,0,7,7,0.0,26.75,26.75,0,7,7,1
STARLINK-31811,STARLINK,0,7,7,0.0,26.64,26.64,0,7,7,1
STARLINK-1371,STARLINK,0,7,7,0.0,26.4,26.4,0,7,7,1
STARLINK-3078,STARLINK,0,7,7,0.0,26.39,26.39,0,7,7,1
STARLINK-31708,STARLINK,0,7,7,0.0,26.34,26.34,0,7,7,1
STARLINK-35252,STARLINK,0,7,7,0.0,26.32,26.32,0,7,7,1
STARLINK-31772,STARLINK,0,7,7,0.0,26.3,26.3,0,7,7,1
STARLINK-31065,STARLINK,0,7,7,0.0,26.25,26.25,0,7,7,1
STARLINK-31450,STARLINK,0,7,7,0.0,26.25,26.25,0,7,7,1
STARLINK-3778,STARLINK,0,7,7,0.0,26.19,26.19,0,7,7,1
STARLINK-35023,STARLINK,0,7,7,0.0,26.17,26.17,0,7,7,1
STARLINK-34002,STARLINK,0,7,7,0.0,26.06,26.06,0,7,7,1
STARLINK-34849,STARLINK,0,7,7,0.0,26.02,26.02,0,7,7,1
STARLINK-1356,STARLINK,0,7,7,0.0,25.98,25.98,0,7,7,1
STARLINK-33997,STARLINK,0,7,7,0.0,25.95,25.95,0,7,7,1
STARLINK-30597,STARLINK,0,7,7,0.0,25.9,25.9,0,7,7,1
STARLINK-35378,STARLINK,0,7,7,0.0,25.83,25.83,0,7,7,1
STARLINK-34336,STARLINK,0,7,7,0.0,25.77,25.77,0,7,7,1
STARLINK-35344,STARLINK,0,7,7,0.0,25.76,25.76,0,7,7,1
STARLINK-3726,STARLINK,0,7,7,0.0,25.71,25.71,0,7,7,1
STARLINK-3396,STARLINK,0,7,7,0.0,25.68,25.68,0,7,7,1
STARLINK-34177,STARLINK,0,7,7,0.0,25.62,25.62,0,7,7,1
STARLINK-3394,STARLINK,0,7,7,0.0,25.57,25.57,0,7,7,1
STARLINK-34418,STARLINK,0,7,7,0.0,25.56,25.56,0,7,7,1
STARLINK-35393,STARLINK,0,7,7,0.0,25.37,25.37,0,7,7,1
STARLINK-33888,STARLINK,0,7,7,0.0,25.28,25.28,0,7,7,1
STARLINK-30070,STARLINK,0,7,7,0.0,25.03,25.03,0,7,7,1
STARLINK-35368,STARLINK,0,7,7,0.0,24.92,24.92,0,7,7,1
STARLINK-35239,STARLINK,0,7,7,0.0,24.85,24.85,0,7,7,1
STARLINK-35324,STARLINK,0,7,7,0.0,24.78,24.78,0,7,7,1
STARLINK-2228,STARLINK,0,7,7,0.0,24.77,24.77,0,7,7,1
STARLINK-1559,STARLINK,0,7,7,0.0,24.73,24.73,0,7,7,1
STARLINK-30423,STARLINK,0,7,7,0.0,24.71,24.71,0,7,7,1
STARLINK-35616,STARLINK,0,7,7,0.0,24.68,24.68,0,7,7,1
STARLINK-4527,STARLINK,0,7,7,0.0,24.66,24.66,0,7,7,1
STARLINK-34757,STARLINK,0,7,7,0.0,24.51,24.51,0,7,7,1
STARLINK-35066,STARLINK,0,7,7,0.0,24.51,24.51,0,7,7,1
STARLINK-4353,STARLINK,0,7,7,0.0,24.5,24.5,0,7,7,1
STARLINK-34812,STARLINK,0,7,7,0.0,24.48,24.48,0,7,7,1
STARLINK-2516,STARLINK,0,7,7,0.0,24.47,24.47,0,7,7,1
STARLINK-35216,STARLINK,0,7,7,0.0,24.39,24.39,0,7,7,1
STARLINK-32322,STARLINK,0,7,7,0.0,24.35,24.35,0,7,7,1
STARLINK-31992,STARLINK,0,7,7,0.0,24.32,24.32,0,7,7,1
STARLINK-4000,STARLINK,0,7,7,0.0,24.24,24.24,0,7,7,1
STARLINK-34313,STARLINK,0,7,7,0.0,24.16,24.16,0,7,7,1
STARLINK-34172,STARLINK,0,7,7,0.0,24.14,24.14,0,7,7,1
STARLINK-31368,STARLINK,0,7,7,0.0,23.98,23.98,0,7,7,1
STARLINK-34947,STARLINK,0,7,7,0.0,23.94,23.94,0,7,7,1
STARLINK-31793,STARLINK,0,7,7,0.0,23.9,23.9,0,7,7,1
STARLINK-34232,STARLINK,0,7,7,0.0,23.87,23.87,0,7,7,1
STARLINK-34756,STARLINK,0,7,7,0.0,23.78,23.78,0,7,7,1
STARLINK-31359,STARLINK,0,7,7,0.0,23.77,23.77,0,7,7,1
STARLINK-34108,STARLINK,0,7,7,0.0,23.67,23.67,0,7,7,1
STARLINK-32825,STARLINK,0,7,7,0.0,23.62,23.62,0,7,7,1
STARLINK-35475,STARLINK,0,7,7,0.0,23.62,23.62,0,7,7,1
STARLINK-1888,STARLINK,0,7,7,0.0,23.61,23.61,0,7,7,1
STARLINK-32417,STARLINK,0,7,7,0.0,23.56,23.56,0,7,7,1
STARLINK-34995,STARLINK,0,7,7,0.0,23.43,23.43,0,7,7,1
STARLINK-35480,STARLINK,0,7,7,0.0,23.43,23.43,0,7,7,1
STARLINK-32006,STARLINK,0,7,7,0.0,23.16,23.16,0,7,7,1
STARLINK-34917,STARLINK,0,7,7,0.0,23.13,23.13,0,7,7,1
STARLINK-35168,STARLINK,0,7,7,0.0,23.12,23.12,0,7,7,1
STARLINK-34450,STARLINK,0,7,7,0.0,23.0,23.0,0,7,7,1
STARLINK-32380,STARLINK,0,7,7,0.0,22.97,22.97,0,7,7,1
STARLINK-1641,STARLINK,0,7,7,0.0,22.96,22.96,0,7,7,1
STARLINK-35227,STARLINK,0,7,7,0.0,22.96,22.96,0,7,7,1
STARLINK-35561,STARLINK,0,7,7,0.0,22.95,22.95,0,7,7,1
STARLINK-11559 [DTC],STARLINK,0,7,7,0.0,22.93,22.93,0,7,7,1
STARLINK-35286,STARLINK,0,7,7,0.0,22.88,22.88,0,7,7,1
STARLINK-30517,STARLINK,0,7,7,0.0,22.67,22.67,0,7,7,1
STARLINK-31025,STARLINK,0,7,7,0.0,22.63,22.63,0,7,7,1
STARLINK-30561,STARLINK,0,7,7,0.0,22.42,22.42,0,7,7,1
STARLINK-32400,STARLINK,0,7,7,0.0,22.23,22.23,0,7,7,1
STARLINK-34747,STARLINK,0,7,7,0.0,22.14,22.14,0,7,7,1
STARLINK-35622,STARLINK,0,7,7,0.0,22.07,22.07,0,7,7,1
STARLINK-34446,STARLINK,0,7,7,0.0,22.0,22.0,0,7,7,1
STARLINK-32315,STARLINK,0,7,7,0.0,21.98,21.98,0,7,7,1
STARLINK-32428,STARLINK,0,7,7,0.0,21.73,21.73,0,7,7,1
STARLINK-34345,STARLINK,0,7,7,0.0,21.67,21.67,0,7,7,1
STARLINK-35595,STARLINK,0,7,7,0.0,21.66,21.66,0,7,7,1
STARLINK-35454,STARLINK,0,7,7,0.0,21.65,21.65,0,7,7,1
STARLINK-2547,STARLINK,0,7,7,0.0,21.61,21.61,0,7,7,1
STARLINK-2530,STARLINK,0,7,7,0.0,21.53,21.53,0,7,7,1
STARLINK-34631,STARLINK,0,7,7,0.0,21.49,21.49,0,7,7,1
STARLINK-30431,STARLINK,0,7,7,0.0,21.36,21.36,0,7,7,1
STARLINK-31245,STARLINK,0,7,7,0.0,21.27,21.27,0,7,7,1
STARLINK-32378,STARLINK,0,7,7,0.0,21.11,21.11,0,7,7,1
STARLINK-34904,STARLINK,0,7,7,0.0,21.01,21.01,0,7,7,1
STARLINK-35049,STARLINK,0,7,7,0.0,21.01,21.01,0,7,7,1
STARLINK-34731,STARLINK,0,7,7,0.0,20.94,20.94,0,7,7,1
STARLINK-32344,STARLINK,0,7,7,0.0,20.83,20.83,0,7,7,1
STARLINK-2517,STARLINK,0,7,7,0.0,20.81,20.81,0,7,7,1
STARLINK-32008,STARLINK,0,7,7,0.0,20.8,20.8,0,7,7,1
STARLINK-35431,STARLINK,0,7,7,0.0,20.79,20.79,0,7,7,1
STARLINK-34858,STARLINK,0,7,7,0.0,20.61,20.61,0,7,7,1
STARLINK-34540,STARLINK,0,7,7,0.0,20.58,20.58,0,7,7,1
STARLINK-36670,STARLINK,0,7,7,0.0,20.57,20.57,0,7,7,1
STARLINK-35300,STARLINK,0,7,7,0.0,20.34,20.34,0,7,7,1
STARLINK-4428,STARLINK,0,7,7,0.0,20.32,20.32,0,7,7,1
STARLINK-34000,STARLINK,0,7,7,0.0,20.28,20.28,0,7,7,1
STARLINK-4751,STARLINK,0,7,7,0.0,20.13,20.13,0,7,7,1
STARLINK-1626,STARLINK,0,7,7,0.0,20.09,20.09,0,7,7,1
STARLINK-31773,STARLINK,0,7,7,0.0,20.03,20.03,0,7,7,1
STARLINK-31229,STARLINK,0,7,7,0.0,20.01,20.01,0,7,7,1
STARLINK-11748 [DTC],STARLINK,0,7,7,0.0,20.0,20.0,0,7,7,1
STARLINK-34586,STARLINK,0,7,7,0.0,19.91,19.91,0,7,7,1
STARLINK-6214,STARLINK,0,7,7,0.0,19.91,19.91,0,7,7,1
STARLINK-34743,STARLINK,0,7,7,0.0,19.75,19.75,0,7,7,1
STARLINK-4388,STARLINK,0,7,7,0.0,19.6,19.6,0,7,7,1
STARLINK-35392,STARLINK,0,7,7,0.0,19.58,19.58,0,7,7,1
STARLINK-35320,STARLINK,0,7,7,0.0,19.53,19.53,0,7,7,1
STARLINK-34343,STARLINK,0,7,7,0.0,19.46,19.46,0,7,7,1
STARLINK-32798,STARLINK,0,7,7,0.0,19.33,19.33,0,7,7,1
STARLINK-31449,STARLINK,0,7,7,0.0,19.24,19.24,0,7,7,1
STARLINK-34564,STARLINK,0,7,7,0.0,19.24,19.24,0,7,7,1
STARLINK-32175,STARLINK,0,7,7,0.0,19.23,19.23,0,7,7,1
STARLINK-34282,STARLINK,0,7,7,0.0,19.16,19.16,0,7,7,1
STARLINK-30292,STARLINK,0,7,7,0.0,18.93,18.93,0,7,7,1
STARLINK-35215,STARLINK,0,7,7,0.0,18.8,18.8,0,7,7,1
STARLINK-4621,STARLINK,0,7,7,0.0,18.77,18.77,0,7,7,1
STARLINK-34613,STARLINK,0,7,7,0.0,18.66,18.66,0,7,7,1
STARLINK-4425,STARLINK,0,7,7,0.0,18.65,18.65,0,7,7,1
STARLINK-35039,STARLINK,0,7,7,0.0,18.43,18.43,0,7,7,1
STARLINK-2326,STARLINK,0,7,7,0.0,18.37,18.37,0,7,7,1
STARLINK-31529,STARLINK,0,7,7,0.0,18.36,18.36,0,7,7,1
STARLINK-1912,STARLINK,0,7,7,0.0,18.3,18.3,0,7,7,1
STARLINK-35120,STARLINK,0,7,7,0.0,18.3,18.3,0,7,7,1
STARLINK-4391,STARLINK,0,7,7,0.0,18.3,18.3,0,7,7,1
STARLINK-34627,STARLINK,0,7,7,0.0,18.28,18.28,0,7,7,1
STARLINK-35326,STARLINK,0,7,7,0.0,18.19,18.19,0,7,7,1
STARLINK-30404,STARLINK,0,7,7,0.0,18.17,18.17,0,7,7,1
STARLINK-31775,STARLINK,0,7,7,0.0,18.13,18.13,0,7,7,1
STARLINK-35330,STARLINK,0,7,7,0.0,17.98,17.98,0,7,7,1
STARLINK-34775,STARLINK,0,7,7,0.0,17.46,17.46,0,7,7,1
STARLINK-33793,STARLINK,0,7,7,0.0,17.19,17.19,0,7,7,1
STARLINK-11120 [DTC],STARLINK,0,7,7,0.0,17.08,17.08,0,7,7,1
STARLINK-1777,STARLINK,0,7,7,0.0,16.91,16.91,0,7,7,1
STARLINK-36644,STARLINK,0,7,7,0.0,16.65,16.65,0,7,7,1
STARLINK-35007,STARLINK,0,7,7,0.0,16.53,16.53,0,7,7,1
STARLINK-35157,STARLINK,0,7,7,0.0,16.48,16.48,0,7,7,1
STARLINK-35282,STARLINK,0,7,7,0.0,16.33,16.33,0,7,7,1
STARLINK-34230,STARLINK,0,6,6,0.0,88.84,88.84,0,6,6,1
STARLINK-33587,STARLINK,0,6,6,0.0,86.78,86.78,0,6,6,1
STARLINK-3752,STARLINK,0,6,6,0.0,76.89,76.89,0,6,6,1
STARLINK-30286,STARLINK,0,6,6,0.0,75.76,75.76,0,6,6,1
STARLINK-4761,STARLINK,0,6,6,0.0,73.56,73.56,0,6,6,1
STARLINK-4505,STARLINK,0,6,6,0.0,73.02,73.02,0,6,6,1
STARLINK-30276,STARLINK,0,6,6,0.0,72.76,72.76,0,6,6,1
STARLINK-5536,STARLINK,0,6,6,0.0,71.85,71.85,0,6,6,1
STARLINK-31889,STARLINK,0,6,6,0.0,71.18,71.18,0,6,6,1
STARLINK-3364,STARLINK,0,6,6,0.0,70.52,70.52,0,6,6,1
STARLINK-31650,STARLINK,0,6,6,0.0,70.28,70.28,0,6,6,1
STARLINK-1578,STARLINK,0,6,6,0.0,69.58,69.58,0,6,6,1
STARLINK-36553,STARLINK,0,6,6,0.0,69.48,69.48,0,6,6,1
STARLINK-36058,STARLINK,0,6,6,0.0,68.3,68.3,0,6,6,1
STARLINK-30486,STARLINK,0,6,6,0.0,67.53,67.53,0,6,6,1
STARLINK-31554,STARLINK,0,6,6,0.0,67.31,67.31,0,6,6,1
STARLINK-35976,STARLINK,0,6,6,0.0,65.59,65.59,0,6,6,1
STARLINK-3777,STARLINK,0,6,6,0.0,65.02,65.02,0,6,6,1
STARLINK-30941,STARLINK,0,6,6,0.0,64.14,64.14,0,6,6,1
STARLINK-31279,STARLINK,0,6,6,0.0,63.67,63.67,0,6,6,1
STARLINK-2506,STARLINK,0,6,6,0.0,63.01,63.01,0,6,6,1
STARLINK-5018,STARLINK,0,6,6,0.0,62.46,62.46,0,6,6,1
STARLINK-32153,STARLINK,0,6,6,0.0,62.01,62.01,0,6,6,1
STARLINK-4253,STARLINK,0,6,6,0.0,61.72,61.72,0,6,6,1
STARLINK-33687,STARLINK,0,6,6,0.0,61.42,61.42,0,6,6,1
STARLINK-30136,STARLINK,0,6,6,0.0,61.22,61.22,0,6,6,1
STARLINK-35150,STARLINK,0,6,6,0.0,61.19,61.19,0,6,6,1
STARLINK-6148,STARLINK,0,6,6,0.0,61.13,61.13,0,6,6,1
STARLINK-31521,STARLINK,0,6,6,0.0,61.06,61.06,0,6,6,1
STARLINK-31078,STARLINK,0,6,6,0.0,59.18,59.18,0,6,6,1
STARLINK-4490,STARLINK,0,6,6,0.0,59.16,59.16,0,6,6,1
STARLINK-35345,STARLINK,0,6,6,0.0,58.99,58.99,0,6,6,1
STARLINK-32096,STARLINK,0,6,6,0.0,58.66,58.66,0,6,6,1
STARLINK-4734,STARLINK,0,6,6,0.0,58.58,58.58,0,6,6,1
STARLINK-34234,STARLINK,0,6,6,0.0,58.14,58.14,0,6,6,1
STARLINK-32199,STARLINK,0,6,6,0.0,57.62,57.62,0,6,6,1
STARLINK-2756,STARLINK,0,6,6,0.0,57.43,57.43,0,6,6,1
STARLINK-5952,STARLINK,0,6,6,0.0,56.77,56.77,0,6,6,1
STARLINK-2153,STARLINK,0,6,6,0.0,56.65,56.65,0,6,6,1
STARLINK-34438,STARLINK,0,6,6,0.0,56.38,56.38,0,6,6,1
STARLINK-3822,STARLINK,0,6,6,0.0,55.92,55.92,0,6,6,1
STARLINK-3670,STARLINK,0,6,6,0.0,55.6,55.6,0,6,6,1
STARLINK-31568,STARLINK,0,6,6,0.0,55.54,55.54,0,6,6,1
STARLINK-3401,STARLINK,0,6,6,0.0,54.69,54.69,0,6,6,1
STARLINK-6296,STARLINK,0,6,6,0.0,54.67,54.67,0,6,6,1
STARLINK-3701,STARLINK,0,6,6,0.0,54.4,54.4,0,6,6,1
STARLINK-31353,STARLINK,0,6,6,0.0,54.17,54.17,0,6,6,1
STARLINK-32381,STARLINK,0,6,6,0.0,54.17,54.17,0,6,6,1
STARLINK-34824,STARLINK,0,6,6,0.0,54.01,54.01,0,6,6,1
STARLINK-2510,STARLINK,0,6,6,0.0,53.7,53.7,0,6,6,1
STARLINK-31980,STARLINK,0,6,6,0.0,53.48,53.48,0,6,6,1
STARLINK-3505,STARLINK,0,6,6,0.0,53.47,53.47,0,6,6,1
STARLINK-35331,STARLINK,0,6,6,0.0,53.27,53.27,0,6,6,1
STARLINK-34088,STARLINK,0,6,6,0.0,53.23,53.23,0,6,6,1
STARLINK-4277,STARLINK,0,6,6,0.0,53.04,53.04,0,6,6,1
STARLINK-4155,STARLINK,0,6,6,0.0,52.95,52.95,0,6,6,1
STARLINK-35338,STARLINK,0,6,6,0.0,52.78,52.78,0,6,6,1
STARLINK-30464,STARLINK,0,6,6,0.0,52.68,52.68,0,6,6,1
STARLINK-34456,STARLINK,0,6,6,0.0,52.59,52.59,0,6,6,1
STARLINK-32773,STARLINK,0,6,6,0.0,52.55,52.55,0,6,6,1
STARLINK-2555,STARLINK,0,6,6,0.0,51.98,51.98,0,6,6,1
STARLINK-5615,STARLINK,0,6,6,0.0,51.87,51.87,0,6,6,1
STARLINK-4008,STARLINK,0,6,6,0.0,51.78,51.78,0,6,6,1
STARLINK-30932,STARLINK,0,6,6,0.0,51.69,51.69,0,6,6,1
STARLINK-32725,STARLINK,0,6,6,0.0,51.62,51.62,0,6,6,1
STARLINK-35117,STARLINK,0,6,6,0.0,51.52,51.52,0,6,6,1
STARLINK-33929,STARLINK,0,6,6,0.0,51.31,51.31,0,6,6,1
STARLINK-4531,STARLINK,0,6,6,0.0,50.87,50.87,0,6,6,1
STARLINK-34046,STARLINK,0,6,6,0.0,50.7,50.7,0,6,6,1
STARLINK-3419,STARLINK,0,6,6,0.0,50.39,50.39,0,6,6,1
STARLINK-35935,STARLINK,0,6,6,0.0,50.23,50.23,0,6,6,1
STARLINK-35643,STARLINK,0,6,6,0.0,50.22,50.22,0,6,6,1
STARLINK-5919,STARLINK,0,6,6,0.0,50.22,50.22,0,6,6,1
STARLINK-3297,STARLINK,0,6,6,0.0,50.2,50.2,0,6,6,1
STARLINK-34490,STARLINK,0,6,6,0.0,50.16,50.16,0,6,6,1
STARLINK-32220,STARLINK,0,6,6,0.0,50.14,50.14,0,6,6,1
STARLINK-35364,STARLINK,0,6,6,0.0,49.87,49.87,0,6,6,1
STARLINK-32664,STARLINK,0,6,6,0.0,49.86,49.86,0,6,6,1
STARLINK-4536,STARLINK,0,6,6,0.0,49.68,49.68,0,6,6,1
STARLINK-35441,STARLINK,0,6,6,0.0,49.43,49.43,0,6,6,1
STARLINK-4501,STARLINK,0,6,6,0.0,49.42,49.42,0,6,6,1
STARLINK-3658,STARLINK,0,6,6,0.0,49.33,49.33,0,6,6,1
STARLINK-36093,STARLINK,0,6,6,0.0,49.29,49.29,0,6,6,1
STARLINK-4279,STARLINK,0,6,6,0.0,49.26,49.26,0,6,6,1
STARLINK-3922,STARLINK,0,6,6,0.0,49.1,49.1,0,6,6,1
STARLINK-31514,STARLINK,0,6,6,0.0,49.04,49.04,0,6,6,1
STARLINK-35914,STARLINK,0,6,6,0.0,48.81,48.81,0,6,6,1
STARLINK-31380,STARLINK,0,6,6,0.0,48.72,48.72,0,6,6,1
STARLINK-34445,STARLINK,0,6,6,0.0,48.56,48.56,0,6,6,1
STARLINK-32442,STARLINK,0,6,6,0.0,48.48,48.48,0,6,6,1
STARLINK-32309,STARLINK,0,6,6,0.0,48.35,48.35,0,6,6,1
STARLINK-5913,STARLINK,0,6,6,0.0,47.96,47.96,0,6,6,1
STARLINK-5169,STARLINK,0,6,6,0.0,47.87,47.87,0,6,6,1
STARLINK-32105,STARLINK,0,6,6,0.0,47.78,47.78,0,6,6,1
STARLINK-34614,STARLINK,0,6,6,0.0,47.67,47.67,0,6,6,1
STARLINK-32792,STARLINK,0,6,6,0.0,47.58,47.58,0,6,6,1
STARLINK-2236,STARLINK,0,6,6,0.0,47.22,47.22,0,6,6,1
STARLINK-30416,STARLINK,0,6,6,0.0,46.78,46.78,0,6,6,1
STARLINK-30135,STARLINK,0,6,6,0.0,46.6,46.6,0,6,6,1
STARLINK-6292,STARLINK,0,6,6,0.0,46.5,46.5,0,6,6,1
STARLINK-30122,STARLINK,0,6,6,0.0,46.21,46.21,0,6,6,1
STARLINK-3771,STARLINK,0,6,6,0.0,46.07,46.07,0,6,6,1
STARLINK-35119,STARLINK,0,6,6,0.0,45.77,45.77,0,6,6,1
STARLINK-30948,STARLINK,0,6,6,0.0,45.71,45.71,0,6,6,1
STARLINK-32354,STARLINK,0,6,6,0.0,45.53,45.53,0,6,6,1
STARLINK-33992,STARLINK,0,6,6,0.0,45.42,45.42,0,6,6,1
STARLINK-3998,STARLINK,0,6,6,0.0,45.4,45.4,0,6,6,1
STARLINK-31262,STARLINK,0,6,6,0.0,45.32,45.32,0,6,6,1
STARLINK-34245,STARLINK,0,6,6,0.0,45.32,45.32,0,6,6,1
STARLINK-32418,STARLINK,0,6,6,0.0,45.19,45.19,0,6,6,1
STARLINK-5642,STARLINK,0,6,6,0.0,44.53,44.53,0,6,6,1
STARLINK-2336,STARLINK,0,6,6,0.0,44.3,44.3,0,6,6,1
STARLINK-30427,STARLINK,0,6,6,0.0,43.94,43.94,0,6,6,1
STARLINK-2356,STARLINK,0,6,6,0.0,43.78,43.78,0,6,6,1
STARLINK-3109,STARLINK,0,6,6,0.0,43.74,43.74,0,6,6,1
STARLINK-34367,STARLINK,0,6,6,0.0,43.48,43.48,0,6,6,1
STARLINK-5893,STARLINK,0,6,6,0.0,43.08,43.08,0,6,6,1
STARLINK-2521,STARLINK,0,6,6,0.0,42.89,42.89,0,6,6,1
